X,Y,PL,RMS,PL^3,PL_reciprocal,RMS_PL_ratio,PL_log,PL_squared_RMS
-2250,-602,62.4,8.01,242970.62,0.02,0.13,4.13,31189.02
-2580,-515,63.8,9.31,259694.07,0.02,0.15,4.16,37895.8
-799,-1534,62.1,7.7,239483.06,0.02,0.12,4.13,29694.36
-519,-1282,62.2,8.44,240641.85,0.02,0.14,4.13,32653.01
-332,-1012,62.0,8.14,238328.0,0.02,0.13,4.13,31290.16
-667,-831,63.0,8.79,250047.0,0.02,0.14,4.14,34887.51
-322,-732,63.9,9.44,260917.12,0.02,0.15,4.16,38545.5
-743,-673,63.0,9.05,250047.0,0.02,0.14,4.14,35919.45
-452,-765,63.5,9.41,256047.88,0.02,0.15,4.15,37943.47
-175,-990,63.3,8.92,253636.14,0.02,0.14,4.15,35741.46
147,-1191,61.7,8.22,234885.11,0.02,0.13,4.12,31292.64
251,-723,62.4,8.59,242970.62,0.02,0.14,4.13,33447.4
-846,-1260,64.1,9.03,263374.72,0.02,0.14,4.16,37102.55
-668,-866,62.2,8.16,240641.85,0.02,0.13,4.13,31569.73
-1122,-1056,63.7,8.68,258474.85,0.02,0.14,4.15,35220.75
-1434,-864,63.2,8.38,252435.97,0.02,0.13,4.15,33471.73
-1359,-1169,63.9,9.04,260917.12,0.02,0.14,4.16,36912.22
-1038,-1000,63.8,9.11,259694.07,0.02,0.14,4.16,37081.71
-486,-905,62.2,8.3,240641.85,0.02,0.13,4.13,32111.37
-304,-1184,62.8,8.77,247673.15,0.02,0.14,4.14,34587.48
124,-778,63.5,9.4,256047.88,0.02,0.15,4.15,37903.15
527,-902,64.1,9.65,263374.72,0.02,0.15,4.16,39650.02
-2076,-1409,62.3,7.82,241804.37,0.02,0.13,4.13,30351.69
-2270,-1136,63.6,9.0,257259.46,0.02,0.14,4.15,36404.64
-1915,-1338,63.0,8.38,250047.0,0.02,0.13,4.14,33260.22
-1536,-1468,64.1,9.15,263374.72,0.02,0.14,4.16,37595.61
-1775,-1049,63.5,8.36,256047.88,0.02,0.13,4.15,33709.61
-1780,-746,62.4,7.7,242970.62,0.02,0.12,4.13,29981.95
-2089,-642,63.7,9.18,258474.85,0.02,0.14,4.15,37249.59
-2118,-1108,62.7,8.34,246491.88,0.02,0.13,4.14,32786.96
-1634,-770,64.3,9.68,265847.71,0.02,0.15,4.16,40021.86
-1528,-1289,66.2,10.61,290117.53,0.02,0.16,4.19,46497.69
-121,-1330,61.3,7.54,230346.4,0.02,0.12,4.12,28332.98
-565,-1450,62.9,8.41,248858.19,0.02,0.13,4.14,33273.41
-274,-1135,62.1,8.61,239483.06,0.02,0.14,4.13,33203.69
-809,-944,63.5,8.83,256047.88,0.02,0.14,4.15,35604.77
-1154,-926,63.0,8.79,250047.0,0.02,0.14,4.14,34887.51
-1297,-1355,63.0,8.32,250047.0,0.02,0.13,4.14,33022.08
-1807,-1443,61.8,7.63,236029.03,0.02,0.12,4.12,29140.8
-1729,-931,62.9,8.4,248858.19,0.02,0.13,4.14,33233.84
