X,Y,r,PL,RMS
1345,10,1345.04,66.9,12.89
782,-5,782.02,65.2,10.92
824,-495,961.25,67.3,11.65
1137,-395,1203.66,68.8,13.6
1051,-962,1424.8,66.1,11.07
958,-1257,1580.45,68.2,13.46
657,-1178,1348.83,66.8,11.81
138,-1473,1479.45,69.3,14.11
-131,-1044,1052.19,66.4,12.18
67,-681,684.29,64.0,9.8
2090,-1527,2588.4,66.5,12.15
1539,-1408,2085.9,66.8,12.3
1341,-1023,1686.66,68.1,12.45
980,-1408,1715.48,67.4,13.24
1040,-930,1395.17,65.3,10.52
571,-1188,1318.1,66.8,11.59
304,-1389,1421.88,66.8,11.85
-176,-1738,1746.89,65.5,10.18
-703,-1562,1712.91,66.4,11.76
-395,-1492,1543.4,65.4,10.65
3177,-875,3295.29,65.3,10.68
2785,-562,2841.14,68.7,11.79
3209,-495,3246.95,64.3,10.2
2967,-943,3113.25,66.7,12.0
3164,-1265,3407.51,66.5,11.11
3461,-1319,3703.82,67.0,11.5
3892,-1158,4060.62,66.1,11.62
3526,-1040,3676.18,66.3,11.44
3019,-1329,3298.58,65.5,10.77
2797,-1856,3356.78,65.3,10.95
4535,-970,4637.58,66.1,11.97
3983,-736,4050.43,66.3,11.43
4198,-1149,4352.4,68.2,13.21
3840,-869,3937.1,68.4,13.4
3538,-1130,3714.07,66.9,12.03
3717,-1520,4015.78,67.7,12.21
4056,-1813,4442.76,65.6,10.21
4347,-1948,4763.52,66.8,11.11
4553,-1420,4769.3,66.9,12.73
4536,-1101,4667.71,66.9,12.96
