,r,PL,RMS,source_file,PL_RMS_ratio,RMS_PL_ratio,PL_RMS_product,PL_RMS_diff,PL_RMS_abs_diff,PL_squared,RMS_squared,PL_sqrt,RMS_sqrt,PL_log,RMS_log,PL_exp,RMS_exp,PL_group_mean,PL_group_std,PL_normalized,RMS_group_mean,RMS_group_std,RMS_normalized,interaction_H_H,interaction_H_L,interaction_H_M,interaction_H_VH,interaction_L_H,interaction_L_L,interaction_L_M,interaction_L_VL,interaction_M_H,interaction_M_L,interaction_M_M,interaction_M_VH,interaction_M_VL,interaction_VH_H,interaction_VH_M,interaction_VH_VH,interaction_VL_H,interaction_VL_L,interaction_VL_M,interaction_VL_VL
104,1364.090,63.400,8.810,FCPR-D1_CIR.csv,7.196,0.139,558.554,54.590,54.590,4019.560,77.616,7.962,2.968,4.165,2.283,1.885,2.413,63.069,0.782,0.423,8.650,0.574,0.279,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
105,1236.700,63.200,8.690,FCPR-D1_CIR.csv,7.273,0.137,549.208,54.510,54.510,3994.240,75.516,7.950,2.948,4.162,2.271,1.881,2.385,63.069,0.782,0.168,8.650,0.574,0.070,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
106,947.440,63.100,9.100,FCPR-D1_CIR.csv,6.934,0.144,574.210,54.000,54.000,3981.610,82.810,7.944,3.017,4.160,2.313,1.879,2.484,63.069,0.782,0.040,8.650,0.574,0.784,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
107,1139.580,62.800,8.850,FCPR-D1_CIR.csv,7.096,0.141,555.780,53.950,53.950,3943.840,78.322,7.925,2.975,4.156,2.287,1.874,2.423,63.069,0.782,-0.344,8.650,0.574,0.348,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
108,1362.810,63.200,8.810,FCPR-D1_CIR.csv,7.174,0.139,556.792,54.390,54.390,3994.240,77.616,7.950,2.968,4.162,2.283,1.881,2.413,63.069,0.782,0.168,8.650,0.574,0.279,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
109,1617.360,62.800,8.880,FCPR-D1_CIR.csv,7.072,0.141,557.664,53.920,53.920,3943.840,78.854,7.925,2.980,4.156,2.291,1.874,2.430,63.069,0.782,-0.344,8.650,0.574,0.401,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
110,1385.990,62.600,8.620,FCPR-D1_CIR.csv,7.262,0.138,539.612,53.980,53.980,3918.760,74.304,7.912,2.936,4.153,2.264,1.870,2.368,63.069,0.782,-0.600,8.650,0.574,-0.052,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
111,956.290,63.300,9.360,FCPR-D1_CIR.csv,6.763,0.148,592.488,53.940,53.940,4006.890,87.610,7.956,3.059,4.164,2.338,1.883,2.550,63.069,0.782,0.295,8.650,0.574,1.237,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
112,1339.120,62.300,8.200,FCPR-D1_CIR.csv,7.598,0.132,510.860,54.100,54.100,3881.290,67.240,7.893,2.864,4.148,2.219,1.865,2.270,63.069,0.782,-0.983,8.650,0.574,-0.784,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
113,1352.370,63.400,8.840,FCPR-D1_CIR.csv,7.172,0.139,560.456,54.560,54.560,4019.560,78.146,7.962,2.973,4.165,2.286,1.885,2.421,63.069,0.782,0.423,8.650,0.574,0.331,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
